0,15
1,-1
2,5
3,5
4,-11
5,-17
6,-21
7,5
8,-9
9,-9
10,-9
11,-33
12,3
13,-41
14,11
15,9
16,-1
17,19
18,-1
19,-9
20,19
21,15
22,-3
23,17
24,17
25,3
26,-3
27,-1
28,41
29,-7
30,15
31,-5
32,7
33,-13
34,33
35,31
36,17
37,-3
38,-7
39,-7
40,25
41,23
42,9
43,-13
44,17
45,17
46,15
47,33
48,47
49,-19
50,9
51,-13
52,1
53,23
54,-29
55,9
56,-11
57,-13
58,-13
59,-11
60,-11
61,5
62,11
63,3
64,-5
65,5
66,7
67,-5
68,9
69,-15
70,-39
71,-31
72,-3
73,-39
74,-41
75,-1
76,13
77,-21
78,13
79,47
80,-3
81,-3
82,49
83,51
84,-31
85,11
86,-9
87,7
88,-15
89,-7
90,-1
91,13
92,-15
93,15
94,3
95,1
96,-43
97,-33
98,-31
99,-11
100,-5
101,33
102,-21
103,3
104,-5
105,81
106,-1
107,7
108,-15
109,23
110,1
111,-27
112,15
113,-21
114,31
115,-11
116,-25
117,-5
118,5
119,9
120,-1
121,13
122,39
123,-25
124,11
125,-11
126,-15
127,23
128,7
129,33
130,-7
131,-9
132,11
133,-9
134,-13
135,-9
136,31
137,27
138,-31
139,-7
140,23
141,-23
142,27
143,-23
144,-31
145,-13
146,31
147,-7
148,-39
149,35
150,15
151,-27
152,-23
153,45
154,-19
155,-35
156,9
157,1
158,-7
159,-7
160,13
161,5
162,-39
163,-21
164,-21
165,17
166,-37
167,-5
168,-19
169,-27
170,41
171,-5
172,19
173,15
174,-13
175,3
176,-23
177,7
178,7
179,5
180,-19
181,-1
182,21
183,9
184,1
185,35
186,25
187,41
188,37
189,-27
190,-23
191,13
192,7
193,-1
194,-1
195,-11
196,-45
197,61
198,11
199,19
200,35
201,-25
202,-37
203,27
204,37
205,23
206,-31
207,-31
208,23
209,-3
210,3
211,15
212,57
213,-19
214,47
215,1
216,7
217,9
218,-1
219,-13
220,-9
221,1
222,33
223,-15
224,-5
225,5
226,-3
227,23
228,19
229,-7
230,13
231,19
232,29
233,-33
234,17
235,-39
236,-3
237,11
238,19
239,-45
240,11
241,5
242,-11
243,21
244,-23
245,9
246,-11
247,-17
248,35
249,19
250,-25
251,-25
252,-15
253,11
254,-7
255,13
256,39
257,9
258,17
259,55
260,-27
261,-5
262,17
263,5
264,-11
265,-9
266,-1
267,43
268,-33
269,-25
270,-11
271,7
272,-23
273,35
274,21
275,-23
276,-55
277,25
278,-5
279,17
280,11
281,11
282,-9
283,-19
284,-51
285,63
286,-5
287,-9
288,-1
289,47
290,-13
291,-11
292,13
293,41
294,-3
295,15
296,7
297,17
298,3
299,-15
300,-1
301,21
302,-25
303,-3
304,5
305,-45
306,3
307,9
308,5
309,15
310,-23
311,-27
312,-9
313,11
314,21
315,-1
316,37
317,-1
318,-51
319,-37
320,-3
321,-21
322,-31
323,3
324,13
325,1
326,21
327,1
328,41
329,-49
330,17
331,3
332,-15
333,9
334,-15
335,65
336,-15
337,3
338,39
339,-3
340,37
341,9
342,-13
343,5
344,11
345,43
346,-21
347,31
348,-17
349,-33
350,-5
351,-9
352,-29
353,25
354,33
355,25
356,43
357,-27
358,39
359,7
360,31
361,1
362,-27
363,-23
364,11
365,-3
366,-13
367,-39
368,43
369,-57
370,-25
371,7
372,69
373,-1
374,-9
375,-39
376,5
377,11
378,-15
379,11
380,29
381,-1
382,29
383,75
384,23
385,-1
386,41
387,-27
388,11
389,33
390,41
391,-7
392,9
393,15
394,29
395,-17
396,11
397,-23
398,7
399,-37
400,9
401,3
402,39
403,43
404,-39
405,-21
406,-9
407,17
408,1
409,9
410,3
411,23
412,-39
413,15
414,35
415,-23
416,-11
417,3
418,-33
419,27
420,-5
421,13
422,1
423,-13
424,3
425,13
426,-1
427,-15
428,11
429,39
430,-3
431,-19
432,13
433,9
434,17
435,5
436,43
437,13
438,3
439,-29
440,7
441,17
442,-3
443,-11
444,41
445,-19
446,-27
447,3
448,-37
449,-13
450,-3
451,-29
452,-39
453,-11
454,9
455,37
456,-13
457,-13
458,-1
459,33
460,31
461,-9
462,17
463,-1
464,19
465,-5
466,-7
467,-11
468,23
469,-29
470,-29
471,13
472,5
473,27
474,13
475,1
476,-19
477,9
478,7
479,3
480,-19
481,-35
482,5
483,-19
484,-9
485,37
486,9
487,-35
488,-33
489,-35
490,55
491,-39
492,9
493,11
494,37
495,-5
496,-11
497,7
498,11
499,-35
